17:04:23,37.39,984.17,15.98
17:05:23,37.32,984.15,16.12
17:06:24,37.23,984.16,16.23
17:07:24,37.13,984.13,16.24
17:08:24,37.03,984.13,16.26
17:09:24,36.93,984.10,16.28
17:10:24,36.79,984.08,16.44
17:11:24,36.64,984.11,16.56
17:12:24,36.42,984.08,16.80
17:13:24,36.22,984.09,16.93
17:14:24,35.99,984.08,17.21
17:15:24,35.76,984.08,17.38
17:16:24,35.50,984.06,17.62
17:17:25,35.24,984.05,17.89
17:18:25,35.00,984.06,18.07
17:19:25,34.78,984.06,18.19
17:20:25,34.58,984.04,18.32
17:21:25,34.39,984.06,18.51
17:22:25,34.23,984.04,18.55
17:23:25,34.06,984.02,18.81
17:24:25,33.91,984.02,18.88
17:25:25,33.76,984.03,19.16
17:26:25,33.61,984.00,19.40
17:27:26,33.48,984.03,19.61
17:28:26,33.35,983.99,19.93
17:29:26,33.26,983.99,20.05
17:30:26,33.17,984.02,20.26
17:31:26,33.10,984.02,20.45
17:32:26,33.03,984.00,20.54
17:33:26,32.97,984.03,20.67
17:34:26,32.87,984.03,20.91
17:35:26,32.80,984.03,21.01
17:36:26,32.72,984.05,21.22
17:37:26,32.69,984.04,21.21
17:38:27,32.74,984.04,20.96
17:39:27,32.81,984.02,20.84
17:40:27,32.87,984.04,20.90
17:41:27,32.99,984.02,20.70
17:42:27,33.10,984.03,20.77
17:43:27,33.22,984.01,20.91
17:44:27,33.32,984.02,21.09
17:45:27,33.41,984.00,21.03
17:46:27,33.53,984.00,20.91
17:47:27,33.65,984.01,20.82
17:48:27,33.76,983.99,20.73
17:49:28,33.88,984.00,20.62
17:50:28,33.98,983.97,20.62
17:51:28,34.08,983.99,20.51
17:52:28,34.16,983.97,20.43
17:53:28,34.25,984.01,20.40
17:54:28,34.32,983.99,20.40
17:55:28,34.37,983.98,20.39
17:56:28,34.42,983.99,20.43
17:57:28,34.45,983.98,20.36
17:58:28,34.48,983.96,20.36
17:59:28,34.53,983.96,20.29
18:00:28,34.57,983.92,20.25
18:01:28,34.62,983.96,20.17
18:02:29,34.66,983.95,20.14
18:03:29,34.69,983.95,20.15
18:04:29,34.66,983.95,20.57
